term,variant,relation_type,lang,confidence,verified_by
Nước Tương,간장,tag,vi,low,"derived from dev tag taxonomy (lotte_tags_vi_en_ko_description_v2.csv, 2026-08-25) - NO per-SKU tag assignment exists yet, matched only via literal substring of the VI tag name inside product titles - needs QA/BA verification + real per-product tag data before use in a real test cycle. Real search-service tag-field boost weight = 0 (ServiceConfig_SearchService.png, 2026-08-25) - tag-dimension queries are NOT expected to rank via tag relevance."
Tương Ớt,Chili Sauce,tag,vi,low,"derived from dev tag taxonomy (lotte_tags_vi_en_ko_description_v2.csv, 2026-08-25) - NO per-SKU tag assignment exists yet, matched only via literal substring of the VI tag name inside product titles - needs QA/BA verification + real per-product tag data before use in a real test cycle. Real search-service tag-field boost weight = 0 (ServiceConfig_SearchService.png, 2026-08-25) - tag-dimension queries are NOT expected to rank via tag relevance."
Tương Ớt,칠리소스,tag,vi,low,"derived from dev tag taxonomy (lotte_tags_vi_en_ko_description_v2.csv, 2026-08-25) - NO per-SKU tag assignment exists yet, matched only via literal substring of the VI tag name inside product titles - needs QA/BA verification + real per-product tag data before use in a real test cycle. Real search-service tag-field boost weight = 0 (ServiceConfig_SearchService.png, 2026-08-25) - tag-dimension queries are NOT expected to rank via tag relevance."
Tã Giấy,Disposable Diapers,tag,vi,low,"derived from dev tag taxonomy (lotte_tags_vi_en_ko_description_v2.csv, 2026-08-25) - NO per-SKU tag assignment exists yet, matched only via literal substring of the VI tag name inside product titles - needs QA/BA verification + real per-product tag data before use in a real test cycle. Real search-service tag-field boost weight = 0 (ServiceConfig_SearchService.png, 2026-08-25) - tag-dimension queries are NOT expected to rank via tag relevance."
Tã Giấy,일회용 기저귀,tag,vi,low,"derived from dev tag taxonomy (lotte_tags_vi_en_ko_description_v2.csv, 2026-08-25) - NO per-SKU tag assignment exists yet, matched only via literal substring of the VI tag name inside product titles - needs QA/BA verification + real per-product tag data before use in a real test cycle. Real search-service tag-field boost weight = 0 (ServiceConfig_SearchService.png, 2026-08-25) - tag-dimension queries are NOT expected to rank via tag relevance."
Pháp,France,tag,vi,low,"derived from dev tag taxonomy (lotte_tags_vi_en_ko_description_v2.csv, 2026-08-25) - NO per-SKU tag assignment exists yet, matched only via literal substring of the VI tag name inside product titles - needs QA/BA verification + real per-product tag data before use in a real test cycle. Real search-service tag-field boost weight = 0 (ServiceConfig_SearchService.png, 2026-08-25) - tag-dimension queries are NOT expected to rank via tag relevance."
Pháp,프랑스,tag,vi,low,"derived from dev tag taxonomy (lotte_tags_vi_en_ko_description_v2.csv, 2026-08-25) - NO per-SKU tag assignment exists yet, matched only via literal substring of the VI tag name inside product titles - needs QA/BA verification + real per-product tag data before use in a real test cycle. Real search-service tag-field boost weight = 0 (ServiceConfig_SearchService.png, 2026-08-25) - tag-dimension queries are NOT expected to rank via tag relevance."
New Zealand,New Zealand,tag,vi,low,"derived from dev tag taxonomy (lotte_tags_vi_en_ko_description_v2.csv, 2026-08-25) - NO per-SKU tag assignment exists yet, matched only via literal substring of the VI tag name inside product titles - needs QA/BA verification + real per-product tag data before use in a real test cycle. Real search-service tag-field boost weight = 0 (ServiceConfig_SearchService.png, 2026-08-25) - tag-dimension queries are NOT expected to rank via tag relevance."
New Zealand,뉴질랜드,tag,vi,low,"derived from dev tag taxonomy (lotte_tags_vi_en_ko_description_v2.csv, 2026-08-25) - NO per-SKU tag assignment exists yet, matched only via literal substring of the VI tag name inside product titles - needs QA/BA verification + real per-product tag data before use in a real test cycle. Real search-service tag-field boost weight = 0 (ServiceConfig_SearchService.png, 2026-08-25) - tag-dimension queries are NOT expected to rank via tag relevance."
Chăn Ga Gối,Bedding,tag,vi,low,"derived from dev tag taxonomy (lotte_tags_vi_en_ko_description_v2.csv, 2026-08-25) - NO per-SKU tag assignment exists yet, matched only via literal substring of the VI tag name inside product titles - needs QA/BA verification + real per-product tag data before use in a real test cycle. Real search-service tag-field boost weight = 0 (ServiceConfig_SearchService.png, 2026-08-25) - tag-dimension queries are NOT expected to rank via tag relevance."
Chăn Ga Gối,침구,tag,vi,low,"derived from dev tag taxonomy (lotte_tags_vi_en_ko_description_v2.csv, 2026-08-25) - NO per-SKU tag assignment exists yet, matched only via literal substring of the VI tag name inside product titles - needs QA/BA verification + real per-product tag data before use in a real test cycle. Real search-service tag-field boost weight = 0 (ServiceConfig_SearchService.png, 2026-08-25) - tag-dimension queries are NOT expected to rank via tag relevance."
Trứng,Eggs,tag,vi,low,"derived from dev tag taxonomy (lotte_tags_vi_en_ko_description_v2.csv, 2026-08-25) - NO per-SKU tag assignment exists yet, matched only via literal substring of the VI tag name inside product titles - needs QA/BA verification + real per-product tag data before use in a real test cycle. Real search-service tag-field boost weight = 0 (ServiceConfig_SearchService.png, 2026-08-25) - tag-dimension queries are NOT expected to rank via tag relevance."
Trứng,계란,tag,vi,low,"derived from dev tag taxonomy (lotte_tags_vi_en_ko_description_v2.csv, 2026-08-25) - NO per-SKU tag assignment exists yet, matched only via literal substring of the VI tag name inside product titles - needs QA/BA verification + real per-product tag data before use in a real test cycle. Real search-service tag-field boost weight = 0 (ServiceConfig_SearchService.png, 2026-08-25) - tag-dimension queries are NOT expected to rank via tag relevance."
Mật Ong,Honey,tag,vi,low,"derived from dev tag taxonomy (lotte_tags_vi_en_ko_description_v2.csv, 2026-08-25) - NO per-SKU tag assignment exists yet, matched only via literal substring of the VI tag name inside product titles - needs QA/BA verification + real per-product tag data before use in a real test cycle. Real search-service tag-field boost weight = 0 (ServiceConfig_SearchService.png, 2026-08-25) - tag-dimension queries are NOT expected to rank via tag relevance."
Mật Ong,꿀,tag,vi,low,"derived from dev tag taxonomy (lotte_tags_vi_en_ko_description_v2.csv, 2026-08-25) - NO per-SKU tag assignment exists yet, matched only via literal substring of the VI tag name inside product titles - needs QA/BA verification + real per-product tag data before use in a real test cycle. Real search-service tag-field boost weight = 0 (ServiceConfig_SearchService.png, 2026-08-25) - tag-dimension queries are NOT expected to rank via tag relevance."
Món Việt,Vietnamese Food,tag,vi,low,"derived from dev tag taxonomy (lotte_tags_vi_en_ko_description_v2.csv, 2026-08-25) - NO per-SKU tag assignment exists yet, matched only via literal substring of the VI tag name inside product titles - needs QA/BA verification + real per-product tag data before use in a real test cycle. Real search-service tag-field boost weight = 0 (ServiceConfig_SearchService.png, 2026-08-25) - tag-dimension queries are NOT expected to rank via tag relevance."
Món Việt,베트남 음식,tag,vi,low,"derived from dev tag taxonomy (lotte_tags_vi_en_ko_description_v2.csv, 2026-08-25) - NO per-SKU tag assignment exists yet, matched only via literal substring of the VI tag name inside product titles - needs QA/BA verification + real per-product tag data before use in a real test cycle. Real search-service tag-field boost weight = 0 (ServiceConfig_SearchService.png, 2026-08-25) - tag-dimension queries are NOT expected to rank via tag relevance."
Kem Dưỡng Da,Moisturizing Cream,tag,vi,low,"derived from dev tag taxonomy (lotte_tags_vi_en_ko_description_v2.csv, 2026-08-25) - NO per-SKU tag assignment exists yet, matched only via literal substring of the VI tag name inside product titles - needs QA/BA verification + real per-product tag data before use in a real test cycle. Real search-service tag-field boost weight = 0 (ServiceConfig_SearchService.png, 2026-08-25) - tag-dimension queries are NOT expected to rank via tag relevance."
Kem Dưỡng Da,보습 크림,tag,vi,low,"derived from dev tag taxonomy (lotte_tags_vi_en_ko_description_v2.csv, 2026-08-25) - NO per-SKU tag assignment exists yet, matched only via literal substring of the VI tag name inside product titles - needs QA/BA verification + real per-product tag data before use in a real test cycle. Real search-service tag-field boost weight = 0 (ServiceConfig_SearchService.png, 2026-08-25) - tag-dimension queries are NOT expected to rank via tag relevance."
Dao Cạo,Razor,tag,vi,low,"derived from dev tag taxonomy (lotte_tags_vi_en_ko_description_v2.csv, 2026-08-25) - NO per-SKU tag assignment exists yet, matched only via literal substring of the VI tag name inside product titles - needs QA/BA verification + real per-product tag data before use in a real test cycle. Real search-service tag-field boost weight = 0 (ServiceConfig_SearchService.png, 2026-08-25) - tag-dimension queries are NOT expected to rank via tag relevance."
Dao Cạo,면도기,tag,vi,low,"derived from dev tag taxonomy (lotte_tags_vi_en_ko_description_v2.csv, 2026-08-25) - NO per-SKU tag assignment exists yet, matched only via literal substring of the VI tag name inside product titles - needs QA/BA verification + real per-product tag data before use in a real test cycle. Real search-service tag-field boost weight = 0 (ServiceConfig_SearchService.png, 2026-08-25) - tag-dimension queries are NOT expected to rank via tag relevance."
Cá Hộp,Canned Fish,tag,vi,low,"derived from dev tag taxonomy (lotte_tags_vi_en_ko_description_v2.csv, 2026-08-25) - NO per-SKU tag assignment exists yet, matched only via literal substring of the VI tag name inside product titles - needs QA/BA verification + real per-product tag data before use in a real test cycle. Real search-service tag-field boost weight = 0 (ServiceConfig_SearchService.png, 2026-08-25) - tag-dimension queries are NOT expected to rank via tag relevance."
Cá Hộp,생선 통조림,tag,vi,low,"derived from dev tag taxonomy (lotte_tags_vi_en_ko_description_v2.csv, 2026-08-25) - NO per-SKU tag assignment exists yet, matched only via literal substring of the VI tag name inside product titles - needs QA/BA verification + real per-product tag data before use in a real test cycle. Real search-service tag-field boost weight = 0 (ServiceConfig_SearchService.png, 2026-08-25) - tag-dimension queries are NOT expected to rank via tag relevance."
Làm Bánh,Baking,tag,vi,low,"derived from dev tag taxonomy (lotte_tags_vi_en_ko_description_v2.csv, 2026-08-25) - NO per-SKU tag assignment exists yet, matched only via literal substring of the VI tag name inside product titles - needs QA/BA verification + real per-product tag data before use in a real test cycle. Real search-service tag-field boost weight = 0 (ServiceConfig_SearchService.png, 2026-08-25) - tag-dimension queries are NOT expected to rank via tag relevance."
Làm Bánh,베이킹,tag,vi,low,"derived from dev tag taxonomy (lotte_tags_vi_en_ko_description_v2.csv, 2026-08-25) - NO per-SKU tag assignment exists yet, matched only via literal substring of the VI tag name inside product titles - needs QA/BA verification + real per-product tag data before use in a real test cycle. Real search-service tag-field boost weight = 0 (ServiceConfig_SearchService.png, 2026-08-25) - tag-dimension queries are NOT expected to rank via tag relevance."
Nước Ép Hỗn Hợp,Mixed Fruit Juice,tag,vi,low,"derived from dev tag taxonomy (lotte_tags_vi_en_ko_description_v2.csv, 2026-08-25) - NO per-SKU tag assignment exists yet, matched only via literal substring of the VI tag name inside product titles - needs QA/BA verification + real per-product tag data before use in a real test cycle. Real search-service tag-field boost weight = 0 (ServiceConfig_SearchService.png, 2026-08-25) - tag-dimension queries are NOT expected to rank via tag relevance."
Nước Ép Hỗn Hợp,혼합 과일주스,tag,vi,low,"derived from dev tag taxonomy (lotte_tags_vi_en_ko_description_v2.csv, 2026-08-25) - NO per-SKU tag assignment exists yet, matched only via literal substring of the VI tag name inside product titles - needs QA/BA verification + real per-product tag data before use in a real test cycle. Real search-service tag-field boost weight = 0 (ServiceConfig_SearchService.png, 2026-08-25) - tag-dimension queries are NOT expected to rank via tag relevance."
Thau,Basin,tag,vi,low,"derived from dev tag taxonomy (lotte_tags_vi_en_ko_description_v2.csv, 2026-08-25) - NO per-SKU tag assignment exists yet, matched only via literal substring of the VI tag name inside product titles - needs QA/BA verification + real per-product tag data before use in a real test cycle. Real search-service tag-field boost weight = 0 (ServiceConfig_SearchService.png, 2026-08-25) - tag-dimension queries are NOT expected to rank via tag relevance."
Thau,대야,tag,vi,low,"derived from dev tag taxonomy (lotte_tags_vi_en_ko_description_v2.csv, 2026-08-25) - NO per-SKU tag assignment exists yet, matched only via literal substring of the VI tag name inside product titles - needs QA/BA verification + real per-product tag data before use in a real test cycle. Real search-service tag-field boost weight = 0 (ServiceConfig_SearchService.png, 2026-08-25) - tag-dimension queries are NOT expected to rank via tag relevance."
Sốt Ướp,Marinade Sauce,tag,vi,low,"derived from dev tag taxonomy (lotte_tags_vi_en_ko_description_v2.csv, 2026-08-25) - NO per-SKU tag assignment exists yet, matched only via literal substring of the VI tag name inside product titles - needs QA/BA verification + real per-product tag data before use in a real test cycle. Real search-service tag-field boost weight = 0 (ServiceConfig_SearchService.png, 2026-08-25) - tag-dimension queries are NOT expected to rank via tag relevance."
Sốt Ướp,양념 소스,tag,vi,low,"derived from dev tag taxonomy (lotte_tags_vi_en_ko_description_v2.csv, 2026-08-25) - NO per-SKU tag assignment exists yet, matched only via literal substring of the VI tag name inside product titles - needs QA/BA verification + real per-product tag data before use in a real test cycle. Real search-service tag-field boost weight = 0 (ServiceConfig_SearchService.png, 2026-08-25) - tag-dimension queries are NOT expected to rank via tag relevance."
Bánh Xốp,Wafer,tag,vi,low,"derived from dev tag taxonomy (lotte_tags_vi_en_ko_description_v2.csv, 2026-08-25) - NO per-SKU tag assignment exists yet, matched only via literal substring of the VI tag name inside product titles - needs QA/BA verification + real per-product tag data before use in a real test cycle. Real search-service tag-field boost weight = 0 (ServiceConfig_SearchService.png, 2026-08-25) - tag-dimension queries are NOT expected to rank via tag relevance."
Bánh Xốp,웨이퍼,tag,vi,low,"derived from dev tag taxonomy (lotte_tags_vi_en_ko_description_v2.csv, 2026-08-25) - NO per-SKU tag assignment exists yet, matched only via literal substring of the VI tag name inside product titles - needs QA/BA verification + real per-product tag data before use in a real test cycle. Real search-service tag-field boost weight = 0 (ServiceConfig_SearchService.png, 2026-08-25) - tag-dimension queries are NOT expected to rank via tag relevance."
Cắt Lát,Sliced,tag,vi,low,"derived from dev tag taxonomy (lotte_tags_vi_en_ko_description_v2.csv, 2026-08-25) - NO per-SKU tag assignment exists yet, matched only via literal substring of the VI tag name inside product titles - needs QA/BA verification + real per-product tag data before use in a real test cycle. Real search-service tag-field boost weight = 0 (ServiceConfig_SearchService.png, 2026-08-25) - tag-dimension queries are NOT expected to rank via tag relevance."
Cắt Lát,슬라이스,tag,vi,low,"derived from dev tag taxonomy (lotte_tags_vi_en_ko_description_v2.csv, 2026-08-25) - NO per-SKU tag assignment exists yet, matched only via literal substring of the VI tag name inside product titles - needs QA/BA verification + real per-product tag data before use in a real test cycle. Real search-service tag-field boost weight = 0 (ServiceConfig_SearchService.png, 2026-08-25) - tag-dimension queries are NOT expected to rank via tag relevance."
Xịt Phòng,Room Spray,tag,vi,low,"derived from dev tag taxonomy (lotte_tags_vi_en_ko_description_v2.csv, 2026-08-25) - NO per-SKU tag assignment exists yet, matched only via literal substring of the VI tag name inside product titles - needs QA/BA verification + real per-product tag data before use in a real test cycle. Real search-service tag-field boost weight = 0 (ServiceConfig_SearchService.png, 2026-08-25) - tag-dimension queries are NOT expected to rank via tag relevance."
Xịt Phòng,룸 스프레이,tag,vi,low,"derived from dev tag taxonomy (lotte_tags_vi_en_ko_description_v2.csv, 2026-08-25) - NO per-SKU tag assignment exists yet, matched only via literal substring of the VI tag name inside product titles - needs QA/BA verification + real per-product tag data before use in a real test cycle. Real search-service tag-field boost weight = 0 (ServiceConfig_SearchService.png, 2026-08-25) - tag-dimension queries are NOT expected to rank via tag relevance."
Đồ Ngọt,Sweets,tag,vi,low,"derived from dev tag taxonomy (lotte_tags_vi_en_ko_description_v2.csv, 2026-08-25) - NO per-SKU tag assignment exists yet, matched only via literal substring of the VI tag name inside product titles - needs QA/BA verification + real per-product tag data before use in a real test cycle. Real search-service tag-field boost weight = 0 (ServiceConfig_SearchService.png, 2026-08-25) - tag-dimension queries are NOT expected to rank via tag relevance."
Đồ Ngọt,단 음식,tag,vi,low,"derived from dev tag taxonomy (lotte_tags_vi_en_ko_description_v2.csv, 2026-08-25) - NO per-SKU tag assignment exists yet, matched only via literal substring of the VI tag name inside product titles - needs QA/BA verification + real per-product tag data before use in a real test cycle. Real search-service tag-field boost weight = 0 (ServiceConfig_SearchService.png, 2026-08-25) - tag-dimension queries are NOT expected to rank via tag relevance."
Hạt Điều,Cashew,tag,vi,low,"derived from dev tag taxonomy (lotte_tags_vi_en_ko_description_v2.csv, 2026-08-25) - NO per-SKU tag assignment exists yet, matched only via literal substring of the VI tag name inside product titles - needs QA/BA verification + real per-product tag data before use in a real test cycle. Real search-service tag-field boost weight = 0 (ServiceConfig_SearchService.png, 2026-08-25) - tag-dimension queries are NOT expected to rank via tag relevance."
Hạt Điều,캐슈넛,tag,vi,low,"derived from dev tag taxonomy (lotte_tags_vi_en_ko_description_v2.csv, 2026-08-25) - NO per-SKU tag assignment exists yet, matched only via literal substring of the VI tag name inside product titles - needs QA/BA verification + real per-product tag data before use in a real test cycle. Real search-service tag-field boost weight = 0 (ServiceConfig_SearchService.png, 2026-08-25) - tag-dimension queries are NOT expected to rank via tag relevance."
Sữa Tắm Bé,Baby Body Wash,tag,vi,low,"derived from dev tag taxonomy (lotte_tags_vi_en_ko_description_v2.csv, 2026-08-25) - NO per-SKU tag assignment exists yet, matched only via literal substring of the VI tag name inside product titles - needs QA/BA verification + real per-product tag data before use in a real test cycle. Real search-service tag-field boost weight = 0 (ServiceConfig_SearchService.png, 2026-08-25) - tag-dimension queries are NOT expected to rank via tag relevance."
Sữa Tắm Bé,베이비 바디워시,tag,vi,low,"derived from dev tag taxonomy (lotte_tags_vi_en_ko_description_v2.csv, 2026-08-25) - NO per-SKU tag assignment exists yet, matched only via literal substring of the VI tag name inside product titles - needs QA/BA verification + real per-product tag data before use in a real test cycle. Real search-service tag-field boost weight = 0 (ServiceConfig_SearchService.png, 2026-08-25) - tag-dimension queries are NOT expected to rank via tag relevance."
Nồi,Pot,tag,vi,low,"derived from dev tag taxonomy (lotte_tags_vi_en_ko_description_v2.csv, 2026-08-25) - NO per-SKU tag assignment exists yet, matched only via literal substring of the VI tag name inside product titles - needs QA/BA verification + real per-product tag data before use in a real test cycle. Real search-service tag-field boost weight = 0 (ServiceConfig_SearchService.png, 2026-08-25) - tag-dimension queries are NOT expected to rank via tag relevance."
Nồi,냄비,tag,vi,low,"derived from dev tag taxonomy (lotte_tags_vi_en_ko_description_v2.csv, 2026-08-25) - NO per-SKU tag assignment exists yet, matched only via literal substring of the VI tag name inside product titles - needs QA/BA verification + real per-product tag data before use in a real test cycle. Real search-service tag-field boost weight = 0 (ServiceConfig_SearchService.png, 2026-08-25) - tag-dimension queries are NOT expected to rank via tag relevance."
Rượu Mạnh,Spirits,tag,vi,low,"derived from dev tag taxonomy (lotte_tags_vi_en_ko_description_v2.csv, 2026-08-25) - NO per-SKU tag assignment exists yet, matched only via literal substring of the VI tag name inside product titles - needs QA/BA verification + real per-product tag data before use in a real test cycle. Real search-service tag-field boost weight = 0 (ServiceConfig_SearchService.png, 2026-08-25) - tag-dimension queries are NOT expected to rank via tag relevance."
Rượu Mạnh,증류주,tag,vi,low,"derived from dev tag taxonomy (lotte_tags_vi_en_ko_description_v2.csv, 2026-08-25) - NO per-SKU tag assignment exists yet, matched only via literal substring of the VI tag name inside product titles - needs QA/BA verification + real per-product tag data before use in a real test cycle. Real search-service tag-field boost weight = 0 (ServiceConfig_SearchService.png, 2026-08-25) - tag-dimension queries are NOT expected to rank via tag relevance."
Đĩa Sứ,Porcelain Plate,tag,vi,low,"derived from dev tag taxonomy (lotte_tags_vi_en_ko_description_v2.csv, 2026-08-25) - NO per-SKU tag assignment exists yet, matched only via literal substring of the VI tag name inside product titles - needs QA/BA verification + real per-product tag data before use in a real test cycle. Real search-service tag-field boost weight = 0 (ServiceConfig_SearchService.png, 2026-08-25) - tag-dimension queries are NOT expected to rank via tag relevance."
Đĩa Sứ,도자기 접시,tag,vi,low,"derived from dev tag taxonomy (lotte_tags_vi_en_ko_description_v2.csv, 2026-08-25) - NO per-SKU tag assignment exists yet, matched only via literal substring of the VI tag name inside product titles - needs QA/BA verification + real per-product tag data before use in a real test cycle. Real search-service tag-field boost weight = 0 (ServiceConfig_SearchService.png, 2026-08-25) - tag-dimension queries are NOT expected to rank via tag relevance."
Khô Cá,Dried Fish,tag,vi,low,"derived from dev tag taxonomy (lotte_tags_vi_en_ko_description_v2.csv, 2026-08-25) - NO per-SKU tag assignment exists yet, matched only via literal substring of the VI tag name inside product titles - needs QA/BA verification + real per-product tag data before use in a real test cycle. Real search-service tag-field boost weight = 0 (ServiceConfig_SearchService.png, 2026-08-25) - tag-dimension queries are NOT expected to rank via tag relevance."
Khô Cá,건어물 생선,tag,vi,low,"derived from dev tag taxonomy (lotte_tags_vi_en_ko_description_v2.csv, 2026-08-25) - NO per-SKU tag assignment exists yet, matched only via literal substring of the VI tag name inside product titles - needs QA/BA verification + real per-product tag data before use in a real test cycle. Real search-service tag-field boost weight = 0 (ServiceConfig_SearchService.png, 2026-08-25) - tag-dimension queries are NOT expected to rank via tag relevance."
Kẹo Gum,Chewing Gum,tag,vi,low,"derived from dev tag taxonomy (lotte_tags_vi_en_ko_description_v2.csv, 2026-08-25) - NO per-SKU tag assignment exists yet, matched only via literal substring of the VI tag name inside product titles - needs QA/BA verification + real per-product tag data before use in a real test cycle. Real search-service tag-field boost weight = 0 (ServiceConfig_SearchService.png, 2026-08-25) - tag-dimension queries are NOT expected to rank via tag relevance."
Kẹo Gum,껌,tag,vi,low,"derived from dev tag taxonomy (lotte_tags_vi_en_ko_description_v2.csv, 2026-08-25) - NO per-SKU tag assignment exists yet, matched only via literal substring of the VI tag name inside product titles - needs QA/BA verification + real per-product tag data before use in a real test cycle. Real search-service tag-field boost weight = 0 (ServiceConfig_SearchService.png, 2026-08-25) - tag-dimension queries are NOT expected to rank via tag relevance."
Bút Gel,Gel Pen,tag,vi,low,"derived from dev tag taxonomy (lotte_tags_vi_en_ko_description_v2.csv, 2026-08-25) - NO per-SKU tag assignment exists yet, matched only via literal substring of the VI tag name inside product titles - needs QA/BA verification + real per-product tag data before use in a real test cycle. Real search-service tag-field boost weight = 0 (ServiceConfig_SearchService.png, 2026-08-25) - tag-dimension queries are NOT expected to rank via tag relevance."
Bút Gel,젤펜,tag,vi,low,"derived from dev tag taxonomy (lotte_tags_vi_en_ko_description_v2.csv, 2026-08-25) - NO per-SKU tag assignment exists yet, matched only via literal substring of the VI tag name inside product titles - needs QA/BA verification + real per-product tag data before use in a real test cycle. Real search-service tag-field boost weight = 0 (ServiceConfig_SearchService.png, 2026-08-25) - tag-dimension queries are NOT expected to rank via tag relevance."
Thức Ăn Thú Cưng,Pet Food,tag,vi,low,"derived from dev tag taxonomy (lotte_tags_vi_en_ko_description_v2.csv, 2026-08-25) - NO per-SKU tag assignment exists yet, matched only via literal substring of the VI tag name inside product titles - needs QA/BA verification + real per-product tag data before use in a real test cycle. Real search-service tag-field boost weight = 0 (ServiceConfig_SearchService.png, 2026-08-25) - tag-dimension queries are NOT expected to rank via tag relevance."
Thức Ăn Thú Cưng,반려동물 사료,tag,vi,low,"derived from dev tag taxonomy (lotte_tags_vi_en_ko_description_v2.csv, 2026-08-25) - NO per-SKU tag assignment exists yet, matched only via literal substring of the VI tag name inside product titles - needs QA/BA verification + real per-product tag data before use in a real test cycle. Real search-service tag-field boost weight = 0 (ServiceConfig_SearchService.png, 2026-08-25) - tag-dimension queries are NOT expected to rank via tag relevance."
Trà Xanh,Green Tea,tag,vi,low,"derived from dev tag taxonomy (lotte_tags_vi_en_ko_description_v2.csv, 2026-08-25) - NO per-SKU tag assignment exists yet, matched only via literal substring of the VI tag name inside product titles - needs QA/BA verification + real per-product tag data before use in a real test cycle. Real search-service tag-field boost weight = 0 (ServiceConfig_SearchService.png, 2026-08-25) - tag-dimension queries are NOT expected to rank via tag relevance."
Trà Xanh,녹차,tag,vi,low,"derived from dev tag taxonomy (lotte_tags_vi_en_ko_description_v2.csv, 2026-08-25) - NO per-SKU tag assignment exists yet, matched only via literal substring of the VI tag name inside product titles - needs QA/BA verification + real per-product tag data before use in a real test cycle. Real search-service tag-field boost weight = 0 (ServiceConfig_SearchService.png, 2026-08-25) - tag-dimension queries are NOT expected to rank via tag relevance."
Móc Treo,Hanger,tag,vi,low,"derived from dev tag taxonomy (lotte_tags_vi_en_ko_description_v2.csv, 2026-08-25) - NO per-SKU tag assignment exists yet, matched only via literal substring of the VI tag name inside product titles - needs QA/BA verification + real per-product tag data before use in a real test cycle. Real search-service tag-field boost weight = 0 (ServiceConfig_SearchService.png, 2026-08-25) - tag-dimension queries are NOT expected to rank via tag relevance."
Móc Treo,걸이,tag,vi,low,"derived from dev tag taxonomy (lotte_tags_vi_en_ko_description_v2.csv, 2026-08-25) - NO per-SKU tag assignment exists yet, matched only via literal substring of the VI tag name inside product titles - needs QA/BA verification + real per-product tag data before use in a real test cycle. Real search-service tag-field boost weight = 0 (ServiceConfig_SearchService.png, 2026-08-25) - tag-dimension queries are NOT expected to rank via tag relevance."
Đậu Phộng,Peanut,tag,vi,low,"derived from dev tag taxonomy (lotte_tags_vi_en_ko_description_v2.csv, 2026-08-25) - NO per-SKU tag assignment exists yet, matched only via literal substring of the VI tag name inside product titles - needs QA/BA verification + real per-product tag data before use in a real test cycle. Real search-service tag-field boost weight = 0 (ServiceConfig_SearchService.png, 2026-08-25) - tag-dimension queries are NOT expected to rank via tag relevance."
Đậu Phộng,땅콩,tag,vi,low,"derived from dev tag taxonomy (lotte_tags_vi_en_ko_description_v2.csv, 2026-08-25) - NO per-SKU tag assignment exists yet, matched only via literal substring of the VI tag name inside product titles - needs QA/BA verification + real per-product tag data before use in a real test cycle. Real search-service tag-field boost weight = 0 (ServiceConfig_SearchService.png, 2026-08-25) - tag-dimension queries are NOT expected to rank via tag relevance."
Sữa Bột,Powdered Milk,tag,vi,low,"derived from dev tag taxonomy (lotte_tags_vi_en_ko_description_v2.csv, 2026-08-25) - NO per-SKU tag assignment exists yet, matched only via literal substring of the VI tag name inside product titles - needs QA/BA verification + real per-product tag data before use in a real test cycle. Real search-service tag-field boost weight = 0 (ServiceConfig_SearchService.png, 2026-08-25) - tag-dimension queries are NOT expected to rank via tag relevance."
Sữa Bột,분유·분말 우유,tag,vi,low,"derived from dev tag taxonomy (lotte_tags_vi_en_ko_description_v2.csv, 2026-08-25) - NO per-SKU tag assignment exists yet, matched only via literal substring of the VI tag name inside product titles - needs QA/BA verification + real per-product tag data before use in a real test cycle. Real search-service tag-field boost weight = 0 (ServiceConfig_SearchService.png, 2026-08-25) - tag-dimension queries are NOT expected to rank via tag relevance."
Đức,Germany,tag,vi,low,"derived from dev tag taxonomy (lotte_tags_vi_en_ko_description_v2.csv, 2026-08-25) - NO per-SKU tag assignment exists yet, matched only via literal substring of the VI tag name inside product titles - needs QA/BA verification + real per-product tag data before use in a real test cycle. Real search-service tag-field boost weight = 0 (ServiceConfig_SearchService.png, 2026-08-25) - tag-dimension queries are NOT expected to rank via tag relevance."
Đức,독일,tag,vi,low,"derived from dev tag taxonomy (lotte_tags_vi_en_ko_description_v2.csv, 2026-08-25) - NO per-SKU tag assignment exists yet, matched only via literal substring of the VI tag name inside product titles - needs QA/BA verification + real per-product tag data before use in a real test cycle. Real search-service tag-field boost weight = 0 (ServiceConfig_SearchService.png, 2026-08-25) - tag-dimension queries are NOT expected to rank via tag relevance."
Thạch,Jelly,tag,vi,low,"derived from dev tag taxonomy (lotte_tags_vi_en_ko_description_v2.csv, 2026-08-25) - NO per-SKU tag assignment exists yet, matched only via literal substring of the VI tag name inside product titles - needs QA/BA verification + real per-product tag data before use in a real test cycle. Real search-service tag-field boost weight = 0 (ServiceConfig_SearchService.png, 2026-08-25) - tag-dimension queries are NOT expected to rank via tag relevance."
Thạch,젤리,tag,vi,low,"derived from dev tag taxonomy (lotte_tags_vi_en_ko_description_v2.csv, 2026-08-25) - NO per-SKU tag assignment exists yet, matched only via literal substring of the VI tag name inside product titles - needs QA/BA verification + real per-product tag data before use in a real test cycle. Real search-service tag-field boost weight = 0 (ServiceConfig_SearchService.png, 2026-08-25) - tag-dimension queries are NOT expected to rank via tag relevance."
