tag,product_count,tag_en,tag_ko,description_vi
Bạc Hà,30,Mint,민트,Sản phẩm có thành phần hoặc hương vị bạc hà.
Giữ Nhiệt,29,Heat Retention,보온,Sản phẩm có khả năng duy trì nhiệt độ nóng hoặc lạnh.
Sốt Chấm,29,Dipping Sauce,찍어 먹는 소스,"Gia vị, nước chấm hoặc sốt thuộc nhóm “Sốt Chấm”."
Dầu Hào,28,Oyster Sauce,굴소스,"Gia vị, nước chấm hoặc sốt thuộc nhóm “Dầu Hào”."
Nước Yến,28,Bird's Nest Drink,제비집 음료,Đồ uống hoặc sản phẩm dạng nước thuộc nhóm “Nước Yến”.
Son,27,Lipstick,립스틱,Sản phẩm chăm sóc cá nhân hoặc làm đẹp thuộc nhóm “Son”.
Chén Cơm,27,Rice Bowl,밥공기,Đồ gia dụng hoặc dụng cụ nhà bếp thuộc nhóm “Chén Cơm”.
Socola Sữa,27,Milk Chocolate,밀크 초콜릿,Bánh kẹo hoặc đồ ngọt thuộc nhóm “Socola Sữa”.
Sáp Vuốt Tóc,27,Hair Wax,헤어 왁스,Sản phẩm chăm sóc cá nhân hoặc làm đẹp thuộc nhóm “Sáp Vuốt Tóc”.
Kẹo Ngậm,27,Lozenges,캔디·목캔디,Bánh kẹo hoặc đồ ngọt thuộc nhóm “Kẹo Ngậm”.
Nấm Tươi,27,Fresh Mushrooms,신선 버섯,"Rau, củ, nấm hoặc sản phẩm thực vật thuộc nhóm “Nấm Tươi”."
Nhân Thịt,26,Meat Filling,고기 소,Thực phẩm có phần nhân làm từ thịt.
Táo Tươi,26,Fresh Apples,신선 사과,Trái cây hoặc sản phẩm từ trái cây thuộc nhóm “Táo Tươi”.
Mì Xào,26,Stir-Fried Noodles,볶음면,"Mì, bún, phở, nui hoặc sản phẩm tương tự thuộc nhóm “Mì Xào”."
Vitamin C,26,Vitamin C,비타민 C,Sản phẩm chăm sóc cá nhân hoặc làm đẹp thuộc nhóm “Vitamin C”.
Thảo Dược,26,Herbal,약초 성분,"Sản phẩm có thành phần, chiết xuất hoặc hoạt chất liên quan đến Thảo Dược."
Bánh Mochi,26,Mochi,모찌,Sản phẩm bánh hoặc món ăn chế biến thuộc nhóm “Bánh Mochi”.
Thịt Khô,26,Dried Meat,육포,"Thịt, phần cắt hoặc sản phẩm chế biến từ thịt thuộc nhóm “Thịt Khô”."
Thể Thao,26,Sports,스포츠,Sản phẩm phục vụ hoạt động thể thao hoặc vận động.
Doraemon,26,Doraemon,도라에몽,Đồ chơi hoặc sản phẩm theo nhân vật/chủ đề “Doraemon”.
Thảo Mộc,25,Herbs,허브,"Sản phẩm có thành phần, chiết xuất hoặc hoạt chất liên quan đến Thảo Mộc."
Lẩu Tại Nhà,25,Home Hot Pot,홈 훠궈·전골,"Thực phẩm, nguyên liệu hoặc bộ sản phẩm phù hợp cho bữa lẩu tại nhà."
Hộp Quà,25,Gift Box,선물 상자,Sản phẩm được đóng gói theo dạng hộp quà.
Muối Ớt,25,Chili Salt,칠리 소금,Gia vị hoặc nguyên liệu nêm nếm thuộc nhóm “Muối Ớt”.
Đài Loan,24,Taiwan,대만,Sản phẩm có xuất xứ từ Đài Loan.
Ruột Gối,24,Pillow Insert,베개 속통,"Đồ dùng gia đình, phòng ngủ hoặc phòng tắm thuộc nhóm “Ruột Gối”."
Ly Nhựa,24,Plastic Cup,플라스틱 컵,Đồ gia dụng hoặc dụng cụ nhà bếp thuộc nhóm “Ly Nhựa”.
Đậu Hũ,24,Tofu,두부,"Ngũ cốc, hạt, đậu hoặc sản phẩm từ hạt thuộc nhóm “Đậu Hũ”."
Viên Giặt,23,Laundry Detergent Pods,세탁 캡슐,"Sản phẩm vệ sinh, giặt tẩy hoặc chăm sóc nhà cửa thuộc nhóm “Viên Giặt”."
Đồ Lót,23,Underwear,속옷,Sản phẩm thời trang hoặc phụ kiện thuộc nhóm “Đồ Lót”.
Xà Lách,23,Lettuce,상추·양상추,"Rau, củ, nấm hoặc sản phẩm thực vật thuộc nhóm “Xà Lách”."
Đậu Nành,23,Soybean,대두,"Ngũ cốc, hạt, đậu hoặc sản phẩm từ hạt thuộc nhóm “Đậu Nành”."
Thủy Canh,23,Hydroponic,수경재배,"Rau, cây hoặc sản phẩm được trồng theo phương pháp thủy canh."
Nấu Pasta,23,Pasta Cooking,파스타 조리,Nguyên liệu hoặc sản phẩm phù hợp để nấu pasta.
Trà Sữa,23,Milk Tea,밀크티,"Đồ uống trà, cà phê hoặc đồ uống pha chế thuộc nhóm “Trà Sữa”."
Hạnh Nhân,23,Almond,아몬드,Hạt hạnh nhân hoặc sản phẩm có thành phần hạnh nhân.
Đuổi Muỗi,22,Mosquito Repellent,모기 기피,"Sản phẩm vệ sinh, giặt tẩy hoặc chăm sóc nhà cửa thuộc nhóm “Đuổi Muỗi”."
Kẹo Mút,22,Lollipop,막대사탕,Bánh kẹo hoặc đồ ngọt thuộc nhóm “Kẹo Mút”.
Gà Chiên,22,Fried Chicken,치킨,"Thực phẩm, món ăn hoặc sản phẩm chế biến thuộc nhóm “Gà Chiên”."
Socola Thanh,22,Chocolate Bar,초콜릿 바,Bánh kẹo hoặc đồ ngọt thuộc nhóm “Socola Thanh”.
Thớt,22,Cutting Board,도마,Đồ gia dụng hoặc dụng cụ nhà bếp thuộc nhóm “Thớt”.
Túi Rác,22,Trash Bags,쓰레기봉투,"Sản phẩm vệ sinh, giặt tẩy hoặc chăm sóc nhà cửa thuộc nhóm “Túi Rác”."
Gạo Lứt,22,Brown Rice,현미,"Ngũ cốc, hạt, đậu hoặc sản phẩm từ hạt thuộc nhóm “Gạo Lứt”."
Sữa Đặc,22,Condensed Milk,연유,Sản phẩm sữa hoặc đồ uống từ sữa thuộc nhóm “Sữa Đặc”.
Socola Đắng,21,Dark Chocolate,다크 초콜릿,Bánh kẹo hoặc đồ ngọt thuộc nhóm “Socola Đắng”.
Cháo Tươi,21,Fresh Porridge,신선 죽,Cháo chế biến sẵn dạng tươi hoặc đóng gói dùng nhanh.
Cà Phê Sữa,21,Milk Coffee,밀크 커피,Sản phẩm cà phê thuộc nhóm hoặc cách chế biến “Cà Phê Sữa”.
Cà Phê Bột,21,Ground Coffee,분쇄 커피,Sản phẩm cà phê thuộc nhóm hoặc cách chế biến “Cà Phê Bột”.
Vang Trắng,21,White Wine,화이트 와인,Đồ uống có cồn thuộc loại “Vang Trắng”.
Thịt Nguội,21,Cold Cuts,콜드컷·햄,"Thịt, phần cắt hoặc sản phẩm chế biến từ thịt thuộc nhóm “Thịt Nguội”."
Sốt Spaghetti,21,Spaghetti Sauce,스파게티 소스,"Gia vị, nước chấm hoặc sốt thuộc nhóm “Sốt Spaghetti”."
Ngâm Muối,21,Salt-Brined,소금 절임,Thực phẩm được ngâm hoặc bảo quản bằng muối.
Nấu Phở,21,Pho Cooking,쌀국수 조리,Nguyên liệu hoặc sản phẩm phù hợp để nấu phở.
Kẹo Marshmallow,20,Marshmallow,마시멜로,Bánh kẹo hoặc đồ ngọt thuộc nhóm “Kẹo Marshmallow”.
Khay Đá,20,Ice Tray,얼음틀,Đồ gia dụng hoặc dụng cụ nhà bếp thuộc nhóm “Khay Đá”.
Phở Bò,20,Beef Pho,소고기 쌀국수,"Mì, bún, phở, nui hoặc sản phẩm tương tự thuộc nhóm “Phở Bò”."
Balo,20,Backpack,백팩,Sản phẩm thời trang hoặc phụ kiện thuộc nhóm “Balo”.
Dao Bếp,20,Kitchen Knife,주방 칼,Đồ gia dụng hoặc dụng cụ nhà bếp thuộc nhóm “Dao Bếp”.
Sốt Lẩu,20,Hot Pot Sauce,훠궈·전골 소스,"Gia vị, nước chấm hoặc sốt thuộc nhóm “Sốt Lẩu”."
Tiêu Đen,20,Black Pepper,흑후추,Gia vị hoặc nguyên liệu nêm nếm thuộc nhóm “Tiêu Đen”.
Bánh Xếp,20,Dumplings,만두,Sản phẩm bánh hoặc món ăn chế biến thuộc nhóm “Bánh Xếp”.
Hạt Macca,20,Macadamia,마카다미아,"Ngũ cốc, hạt, đậu hoặc sản phẩm từ hạt thuộc nhóm “Hạt Macca”."
Món Kho,20,Braised Dishes,조림 요리,Món ăn hoặc sản phẩm thuộc nhóm “Món Kho”.
Thái Nguyên,20,Thai Nguyen,타이응우옌,"Sản phẩm có nguồn gốc, đặc sản hoặc liên quan đến khu vực Thái Nguyên."
Nước Tinh Khiết,20,Purified Water,정제수,Đồ uống hoặc sản phẩm dạng nước thuộc nhóm “Nước Tinh Khiết”.
Mì Khô,19,Dried Noodles,건면,"Mì, bún, phở, nui hoặc sản phẩm tương tự thuộc nhóm “Mì Khô”."
Phủ Bạc,19,Silver-Coated,은 코팅,Sản phẩm có bề mặt hoặc lớp hoàn thiện phủ bạc.
Chén Sứ,19,Porcelain Rice Bowl,도자기 밥공기,Đồ gia dụng hoặc dụng cụ nhà bếp thuộc nhóm “Chén Sứ”.
Khô Mực,19,Dried Squid,마른 오징어,Mực khô hoặc sản phẩm chế biến từ mực khô.
Màng PE,19,PE Cling Film,PE 랩,"Sản phẩm có chất liệu, cấu tạo hoặc lớp hoàn thiện liên quan đến Màng PE."
Quà Tặng,19,Gifts,선물,Sản phẩm phù hợp dùng làm quà tặng.
Tay Ngắn,19,Short Sleeve,반팔,Trang phục có thiết kế tay ngắn.
Bút Màu,19,Coloring Pens,색연필·컬러펜,Văn phòng phẩm hoặc dụng cụ học tập thuộc nhóm “Bút Màu”.
Mì Udon,18,Udon Noodles,우동면,"Mì, bún, phở, nui hoặc sản phẩm tương tự thuộc nhóm “Mì Udon”."
Kiềm Dầu,18,Oil Control,피지 조절,Sản phẩm hỗ trợ kiểm soát dầu nhờn trên da hoặc tóc.
Món Nước,18,Soup-Based Dishes,국물 요리,Món ăn hoặc sản phẩm thuộc nhóm “Món Nước”.
Khăn Tay,18,Handkerchief,손수건,"Đồ dùng gia đình, phòng ngủ hoặc phòng tắm thuộc nhóm “Khăn Tay”."
Gối Ôm,18,Body Pillow,바디필로우,"Đồ dùng gia đình, phòng ngủ hoặc phòng tắm thuộc nhóm “Gối Ôm”."
Singapore,18,Singapore,싱가포르,Sản phẩm có xuất xứ từ Singapore.
Philippines,18,Philippines,필리핀,Sản phẩm có xuất xứ từ Philippines.
Gấu Teddy,18,Teddy Bear,테디베어,Đồ chơi hoặc sản phẩm theo nhân vật/chủ đề “Gấu Teddy”.
Bột Ngọt,18,MSG,MSG 조미료,Gia vị hoặc nguyên liệu nêm nếm thuộc nhóm “Bột Ngọt”.
Đi Biển,17,Beachwear & Beach Use,해변용,Sản phẩm phù hợp mang theo hoặc sử dụng khi đi biển.
Mì Cay,17,Spicy Noodles,매운 면,"Mì, bún, phở, nui hoặc sản phẩm tương tự thuộc nhóm “Mì Cay”."
Xoài Sấy,17,Dried Mango,건망고,Trái cây hoặc sản phẩm từ trái cây thuộc nhóm “Xoài Sấy”.
Rượu Whisky,17,Whisky,위스키,Đồ uống có cồn thuộc loại “Rượu Whisky”.
Sốt Cay,17,Spicy Sauce,매운 소스,"Gia vị, nước chấm hoặc sốt thuộc nhóm “Sốt Cay”."
Quần Short,17,Shorts,반바지,Sản phẩm thời trang hoặc phụ kiện thuộc nhóm “Quần Short”.
Trồng Cây,17,Gardening,원예,Sản phẩm phục vụ nhu cầu trồng và chăm sóc cây.
Bún Khô,17,Dried Rice Vermicelli,건조 쌀국수면,"Mì, bún, phở, nui hoặc sản phẩm tương tự thuộc nhóm “Bún Khô”."
Du Lịch,17,Travel,여행,Sản phẩm phù hợp cho nhu cầu du lịch.
Hủ Tiếu,17,Hu Tieu Noodles,후띠우,"Mì, bún, phở, nui hoặc sản phẩm tương tự thuộc nhóm “Hủ Tiếu”."
Bột Cacao,17,Cocoa Powder,코코아 파우더,"Bột cacao dùng cho đồ uống, làm bánh hoặc chế biến thực phẩm."
Nhựa Melamine,17,Melamine Plastic,멜라민 수지,"Sản phẩm có chất liệu, cấu tạo hoặc lớp hoàn thiện liên quan đến Nhựa Melamine."
Rổ Vuông,17,Square Basket,사각 바구니,Đồ gia dụng hoặc dụng cụ nhà bếp thuộc nhóm “Rổ Vuông”.
Keratin Biotin,17,Keratin & Biotin,케라틴·비오틴,Sản phẩm chăm sóc cá nhân hoặc làm đẹp thuộc nhóm “Keratin Biotin”.
Inox 430,16,430 Stainless Steel,430 스테인리스,"Sản phẩm có chất liệu, cấu tạo hoặc lớp hoàn thiện liên quan đến Inox 430."
Cơm Hộp,16,Boxed Meal,도시락,"Thực phẩm, món ăn hoặc sản phẩm chế biến thuộc nhóm “Cơm Hộp”."
Nhạy Cảm,16,Sensitive Skin,민감성,Sản phẩm dành cho da hoặc đối tượng nhạy cảm.
Ly Sứ,16,Ceramic Cup,도자기 컵,Đồ gia dụng hoặc dụng cụ nhà bếp thuộc nhóm “Ly Sứ”.
Cá Trứng,16,Capelin,열빙어,Thủy hải sản hoặc sản phẩm chế biến thuộc nhóm “Cá Trứng”.
Thùng Rác,16,Trash Bin,쓰레기통,Đồ gia dụng hoặc dụng cụ nhà bếp thuộc nhóm “Thùng Rác”.
Mắm Tôm,16,Shrimp Paste,새우젓 페이스트,"Gia vị, nước chấm hoặc sốt thuộc nhóm “Mắm Tôm”."
Xịt Muỗi,16,Mosquito Spray,모기 스프레이,"Sản phẩm vệ sinh, giặt tẩy hoặc chăm sóc nhà cửa thuộc nhóm “Xịt Muỗi”."
Chân Giò,16,Pork Hock,돼지 족,"Thịt, phần cắt hoặc sản phẩm chế biến từ thịt thuộc nhóm “Chân Giò”."
Cơm Chiên,16,Fried Rice,볶음밥,"Thực phẩm, món ăn hoặc sản phẩm chế biến thuộc nhóm “Cơm Chiên”."
Kẹo Mềm,16,Soft Candy,소프트 캔디,Bánh kẹo hoặc đồ ngọt thuộc nhóm “Kẹo Mềm”.
Hoa Tươi,16,Fresh Flowers,생화,"Rau, củ, nấm hoặc sản phẩm thực vật thuộc nhóm “Hoa Tươi”."
Zero Calo,15,Zero Calories,제로 칼로리,Sản phẩm được công bố không hoặc gần như không có calo.
Rang Xay,15,Roasted & Ground,로스팅·분쇄,Cà phê hoặc nguyên liệu đã được rang và xay.
Socola Nhân,15,Filled Chocolate,필링 초콜릿,Sản phẩm socola có phần nhân bên trong.
Trà Chanh,15,Lemon Tea,레몬차,"Đồ uống trà, cà phê hoặc đồ uống pha chế thuộc nhóm “Trà Chanh”."
Trứng Vịt,15,Duck Eggs,오리알,Trứng vịt và sản phẩm liên quan.
Quà Tết,15,Tet Gifts,설 명절 선물,Sản phẩm hoặc bộ quà phù hợp cho dịp Tết.
Dành Cho Người Tiểu Đường,15,Suitable for Diabetics,당뇨 관리용,Sản phẩm dành cho người cần kiểm soát lượng đường trong chế độ ăn.
Nước Dừa,15,Coconut Water,코코넛 워터,Đồ uống hoặc sản phẩm dạng nước thuộc nhóm “Nước Dừa”.
Dầu Mè,15,Sesame Oil,참기름,"Gia vị, nước chấm hoặc sốt thuộc nhóm “Dầu Mè”."
Cọ Toilet,15,Toilet Brush,변기 브러시,"Sản phẩm vệ sinh, giặt tẩy hoặc chăm sóc nhà cửa thuộc nhóm “Cọ Toilet”."
Nấm Khô,15,Dried Mushrooms,건버섯,"Rau, củ, nấm hoặc sản phẩm thực vật thuộc nhóm “Nấm Khô”."
Ủ Tóc,15,Hair Treatment,헤어 트리트먼트,Sản phẩm chăm sóc cá nhân hoặc làm đẹp thuộc nhóm “Ủ Tóc”.
Sốt Cà,15,Tomato Sauce,토마토 소스,"Gia vị, nước chấm hoặc sốt thuộc nhóm “Sốt Cà”."
Nha Đam,15,Aloe Vera,알로에 베라,Sản phẩm chăm sóc cá nhân hoặc làm đẹp thuộc nhóm “Nha Đam”.
Khô Bò,15,Beef Jerky,소고기 육포,Thịt bò khô hoặc sản phẩm chế biến dạng khô từ bò.
Bột Nghệ,15,Turmeric Powder,강황가루,Gia vị hoặc nguyên liệu nêm nếm thuộc nhóm “Bột Nghệ”.
Mì Tương Đen,15,Jajang Noodles,짜장면,"Mì, bún, phở, nui hoặc sản phẩm tương tự thuộc nhóm “Mì Tương Đen”."
Gốc Thực Vật,15,Plant-Based,식물성,Sản phẩm có nguồn gốc chủ yếu từ thực vật.
Tương Cà,15,Ketchup,케첩,"Gia vị, nước chấm hoặc sốt thuộc nhóm “Tương Cà”."
Dép Nữ,14,Women's Slippers,여성 슬리퍼,Sản phẩm dành cho nữ giới.
Rau Baby,14,Baby Vegetables,어린잎 채소,"Rau, củ, nấm hoặc sản phẩm thực vật thuộc nhóm “Rau Baby”."
Kẹo Nổ,14,Popping Candy,팝핑 캔디,Bánh kẹo hoặc đồ ngọt thuộc nhóm “Kẹo Nổ”.
Chân Gà,14,Chicken Feet,닭발,"Thịt, phần cắt hoặc sản phẩm chế biến từ thịt thuộc nhóm “Chân Gà”."
Gạo ST25,14,ST25 Rice,ST25 쌀,"Ngũ cốc, hạt, đậu hoặc sản phẩm từ hạt thuộc nhóm “Gạo ST25”."
Bắp Ngọt,14,Sweet Corn,스위트콘,Rau củ hoặc nguyên liệu thực phẩm thuộc nhóm “Bắp Ngọt”.
Váng Sữa,14,Milk Cream Dessert,우유 크림 디저트,"Thực phẩm, món ăn hoặc sản phẩm chế biến thuộc nhóm “Váng Sữa”."
Nĩa,14,Fork,포크,Đồ gia dụng hoặc dụng cụ nhà bếp thuộc nhóm “Nĩa”.
Khô Gà,14,Dried Chicken,닭고기 육포,Thịt gà khô hoặc sản phẩm chế biến dạng khô từ gà.
Bò Viên,13,Beef Balls,소고기 완자,"Thịt, phần cắt hoặc sản phẩm chế biến từ thịt thuộc nhóm “Bò Viên”."
Cơm Cuộn,13,Rice Rolls,김밥·라이스롤,"Thực phẩm, món ăn hoặc sản phẩm chế biến thuộc nhóm “Cơm Cuộn”."
Bút Xóa,13,Correction Pen,수정펜,Văn phòng phẩm hoặc dụng cụ học tập thuộc nhóm “Bút Xóa”.
Trà Đào,13,Peach Tea,복숭아차,"Đồ uống trà, cà phê hoặc đồ uống pha chế thuộc nhóm “Trà Đào”."
Không Cồn,13,Non-Alcoholic,무알코올,Sản phẩm không chứa cồn hoặc được công bố không cồn.
Bánh Kem,13,Cake,케이크,Sản phẩm bánh hoặc món ăn chế biến thuộc nhóm “Bánh Kem”.
Rượu Vodka,13,Vodka,보드카,Đồ uống có cồn thuộc loại “Rượu Vodka”.
Tteokbokki,13,Tteokbokki,떡볶이,"Thực phẩm, món ăn hoặc sản phẩm chế biến thuộc nhóm “Tteokbokki”."
Túi Tote,13,Tote Bag,토트백,Sản phẩm thời trang hoặc phụ kiện thuộc nhóm “Túi Tote”.
Sấy Giòn,13,Crispy Dried,바삭 건조,Thực phẩm được sấy để tạo độ giòn.
Kẹo Dừa,12,Coconut Candy,코코넛 캔디,Bánh kẹo hoặc đồ ngọt thuộc nhóm “Kẹo Dừa”.
Tiêu Sọ,12,White Pepper,백후추,Gia vị hoặc nguyên liệu nêm nếm thuộc nhóm “Tiêu Sọ”.
Tăm Bông,12,Cotton Swabs,면봉,Sản phẩm chăm sóc cá nhân hoặc làm đẹp thuộc nhóm “Tăm Bông”.
Khoai Môn,12,Taro,토란,Rau củ hoặc nguyên liệu thực phẩm thuộc nhóm “Khoai Môn”.
Nước Ép Cam,12,Orange Juice,오렌지 주스,Đồ uống hoặc sản phẩm dạng nước thuộc nhóm “Nước Ép Cam”.
Vỏ Gối,12,Pillowcase,베개 커버,"Đồ dùng gia đình, phòng ngủ hoặc phòng tắm thuộc nhóm “Vỏ Gối”."
Xoài Tươi,12,Fresh Mango,신선 망고,Trái cây hoặc sản phẩm từ trái cây thuộc nhóm “Xoài Tươi”.
Chăn Mền,12,Blanket,담요,"Đồ dùng gia đình, phòng ngủ hoặc phòng tắm thuộc nhóm “Chăn Mền”."
Bút Highlight,12,Highlighter,형광펜,Văn phòng phẩm hoặc dụng cụ học tập thuộc nhóm “Bút Highlight”.
Rang Muối,12,Salt-Roasted,소금구이,Thực phẩm được chế biến theo kiểu rang muối.
Sốt Salad,12,Salad Dressing,샐러드 드레싱,"Gia vị, nước chấm hoặc sốt thuộc nhóm “Sốt Salad”."
Ly Rượu,12,Wine Glass,와인잔,Đồ gia dụng hoặc dụng cụ nhà bếp thuộc nhóm “Ly Rượu”.
Nước Ion,12,Ionized Water,이온수,Đồ uống hoặc sản phẩm dạng nước thuộc nhóm “Nước Ion”.
Thùng Đá,12,Ice Box,아이스박스,Đồ gia dụng hoặc dụng cụ nhà bếp thuộc nhóm “Thùng Đá”.
Mì Chay,12,Vegetarian Noodles,채식 면,"Mì, bún, phở, nui hoặc sản phẩm tương tự thuộc nhóm “Mì Chay”."
Chuối Tươi,12,Fresh Banana,신선 바나나,Trái cây hoặc sản phẩm từ trái cây thuộc nhóm “Chuối Tươi”.
Hạt Chia,12,Chia Seeds,치아씨드,"Ngũ cốc, hạt, đậu hoặc sản phẩm từ hạt thuộc nhóm “Hạt Chia”."
Bột Gạo,12,Rice Flour,쌀가루,Bột làm từ gạo dùng trong nấu ăn và chế biến thực phẩm.
Túi Thơm,12,Scented Sachet,향주머니,"Sản phẩm vệ sinh, giặt tẩy hoặc chăm sóc nhà cửa thuộc nhóm “Túi Thơm”."
Làm Thạch,12,Jelly Making,젤리 만들기,"Nguyên liệu, dụng cụ hoặc sản phẩm phù hợp để làm thạch."
Bánh Đa,12,Rice Crackers / Rice Sheets,쌀과자·쌀전병,Sản phẩm bánh hoặc món ăn chế biến thuộc nhóm “Bánh Đa”.
Bún Gói,12,Instant Rice Vermicelli,즉석 쌀국수면,"Mì, bún, phở, nui hoặc sản phẩm tương tự thuộc nhóm “Bún Gói”."
Phở Gà,12,Chicken Pho,닭고기 쌀국수,"Mì, bún, phở, nui hoặc sản phẩm tương tự thuộc nhóm “Phở Gà”."
Toner Pad,12,Toner Pad,토너 패드,Sản phẩm chăm sóc cá nhân hoặc làm đẹp thuộc nhóm “Toner Pad”.
Mực Ống,12,Squid,오징어,Thủy hải sản hoặc sản phẩm chế biến thuộc nhóm “Mực Ống”.
Muối Tiêu,11,Salt & Pepper,소금·후추,Gia vị hoặc nguyên liệu nêm nếm thuộc nhóm “Muối Tiêu”.
Món Salad,11,Salad Dishes,샐러드 요리,Món ăn hoặc sản phẩm thuộc nhóm “Món Salad”.
Phở Gói,11,Instant Pho,즉석 쌀국수,"Mì, bún, phở, nui hoặc sản phẩm tương tự thuộc nhóm “Phở Gói”."
Thảm Chân,11,Doormat,발매트,"Đồ dùng gia đình, phòng ngủ hoặc phòng tắm thuộc nhóm “Thảm Chân”."
Dim Sum,11,Dim Sum,딤섬,"Thực phẩm, món ăn hoặc sản phẩm chế biến thuộc nhóm “Dim Sum”."
Nui Ống,11,Tube Pasta,튜브 파스타,"Mì, bún, phở, nui hoặc sản phẩm tương tự thuộc nhóm “Nui Ống”."
Dưa Leo,11,Cucumber,오이,"Rau, củ, nấm hoặc sản phẩm thực vật thuộc nhóm “Dưa Leo”."
Cải Ngọt,11,Choy Sum,초이섬,"Rau, củ, nấm hoặc sản phẩm thực vật thuộc nhóm “Cải Ngọt”."
Mè Rang,11,Roasted Sesame,볶은 참깨,"Ngũ cốc, hạt, đậu hoặc sản phẩm từ hạt thuộc nhóm “Mè Rang”."
Nhang Muỗi,11,Mosquito Coil,모기향,"Sản phẩm vệ sinh, giặt tẩy hoặc chăm sóc nhà cửa thuộc nhóm “Nhang Muỗi”."
Nhựa Bio,11,Bioplastic,바이오 플라스틱,"Sản phẩm có chất liệu, cấu tạo hoặc lớp hoàn thiện liên quan đến Nhựa Bio."
Nấu Xào,11,Stir-Fry Cooking,볶음 요리,Nguyên liệu hoặc sản phẩm phù hợp để nấu xào.
Cá Nục,11,Mackerel Scad,전갱이,Thủy hải sản hoặc sản phẩm chế biến thuộc nhóm “Cá Nục”.
Nước Gạo,11,Rice Drink,쌀 음료,Đồ uống hoặc sản phẩm dạng nước thuộc nhóm “Nước Gạo”.
Kem Tươi,11,Whipping Cream,휘핑크림,"Thực phẩm, món ăn hoặc sản phẩm chế biến thuộc nhóm “Kem Tươi”."
Đậu Xanh,11,Mung Bean,녹두,"Ngũ cốc, hạt, đậu hoặc sản phẩm từ hạt thuộc nhóm “Đậu Xanh”."
Gạo Dẻo,10,Soft & Sticky Rice,찰진 쌀,"Ngũ cốc, hạt, đậu hoặc sản phẩm từ hạt thuộc nhóm “Gạo Dẻo”."
Gạo Thơm,10,Fragrant Rice,향미 쌀,"Ngũ cốc, hạt, đậu hoặc sản phẩm từ hạt thuộc nhóm “Gạo Thơm”."
Xương Gà,10,Chicken Bones,닭뼈,"Thịt, phần cắt hoặc sản phẩm chế biến từ thịt thuộc nhóm “Xương Gà”."
Ngâm Sốt,10,Marinated in Sauce,소스 절임,Thực phẩm đã được ngâm hoặc ướp trong sốt.
Bánh Croissant,10,Croissant,크루아상,Sản phẩm bánh hoặc món ăn chế biến thuộc nhóm “Bánh Croissant”.
Món Chiên,10,Fried Food,튀김 요리,Món ăn hoặc sản phẩm thuộc nhóm “Món Chiên”.
Ấm Siêu Tốc,10,Electric Kettle,전기주전자,Đồ gia dụng hoặc dụng cụ nhà bếp thuộc nhóm “Ấm Siêu Tốc”.
Bí Đỏ,10,Pumpkin,호박,"Rau, củ, nấm hoặc sản phẩm thực vật thuộc nhóm “Bí Đỏ”."
Tương Đen,10,Black Bean Sauce,춘장·블랙빈 소스,"Gia vị, nước chấm hoặc sốt thuộc nhóm “Tương Đen”."
Mì Trứng,10,Egg Noodles,계란면,"Mì, bún, phở, nui hoặc sản phẩm tương tự thuộc nhóm “Mì Trứng”."
Tô Melamine,10,Melamine Bowl,멜라민 볼,Đồ gia dụng hoặc dụng cụ nhà bếp thuộc nhóm “Tô Melamine”.
Than Tre,10,Bamboo Charcoal,대나무 숯,"Sản phẩm có thành phần, chiết xuất hoặc hoạt chất liên quan đến Than Tre."
Nga,10,Russia,러시아,Sản phẩm có xuất xứ từ Nga.
Thước Kẻ,10,Ruler,자,Văn phòng phẩm hoặc dụng cụ học tập thuộc nhóm “Thước Kẻ”.
Keo Dán,10,Glue,접착제,Văn phòng phẩm hoặc dụng cụ học tập thuộc nhóm “Keo Dán”.
Tảo Biển,10,Sea Algae,해조류,Tảo biển hoặc sản phẩm có thành phần từ tảo biển.
Thăn Bò,10,Beef Tenderloin,소고기 안심,"Thịt, phần cắt hoặc sản phẩm chế biến từ thịt thuộc nhóm “Thăn Bò”."
Gối Cổ,10,Neck Pillow,목베개,"Đồ dùng gia đình, phòng ngủ hoặc phòng tắm thuộc nhóm “Gối Cổ”."
Yến Sào,10,Edible Bird's Nest,식용 제비집,"Thực phẩm, món ăn hoặc sản phẩm chế biến thuộc nhóm “Yến Sào”."
Dược Liệu,10,Medicinal Herbs,약용 식물,"Sản phẩm có thành phần, chiết xuất hoặc hoạt chất liên quan đến Dược Liệu."
Ăn Cơm,10,For Rice Meals,밥반찬용,Món ăn hoặc sản phẩm phù hợp dùng kèm cơm.
Rút Xương,10,Boneless,뼈 제거,Thịt hoặc thủy hải sản đã được loại bỏ xương.
Thịt Xay,10,Ground Meat,다진 고기,Thịt đã được xay nhỏ.
Socola Viên,10,Chocolate Bites,초콜릿 볼,Bánh kẹo hoặc đồ ngọt thuộc nhóm “Socola Viên”.
Trà Gừng,10,Ginger Tea,생강차,"Đồ uống trà, cà phê hoặc đồ uống pha chế thuộc nhóm “Trà Gừng”."
Cháy Tỏi,10,Garlic-Fried,마늘 볶음,Món hoặc sản phẩm được chế biến với tỏi phi/cháy tỏi.
Thuần Chay,10,Vegan,비건,Sản phẩm phù hợp chế độ thuần chay.
Dâu Tây,10,Strawberry,딸기,Trái cây hoặc sản phẩm từ trái cây thuộc nhóm “Dâu Tây”.
